# Constructed from biom file 
#OTU ID	34_1_P	34_1_Y	34_2_P	34_2_Y	12_P	12_Y	29_P	29_Y	44_P	44_Y	56_P	56_Y	58_P	58_Y	65_P	65_Y	70_P	70_Y	8_P	8_Y 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	38	59	42	53	25	59	33	48	46	61	50	49	55	40	46	59	55	36	54	35 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas albigilva	57	0	1	0	0	49	0	0	51	0	50	10	27	38	0	6	3	94	18	28 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium soli	15	13	14	8	11	12	17	11	13	14	11	19	8	19	11	17	6	15	15	9 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas terrigena	51	105	40	19	26	61	96	26	46	111	12	88	70	13	29	82	63	106	32	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Arcicella;s__Arcicella rosea	0	33	0	0	26	0	10	37	4	34	0	24	12	0	0	10	12	13	17	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp012932495	2	2	3	5	2	3	2	5	3	2	0	2	6	2	2	4	4	4	3	5 
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis	0	42	0	20	0	15	1	29	18	38	57	18	5	0	10	14	55	0	0	7 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Tardiphaga;s__Tardiphaga sp018279705	0	0	8	0	4	5	0	3	2	7	6	1	2	5	0	1	4	0	2	2 
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__;__	0	0	14	0	0	0	2	1	9	14	3	6	3	8	5	5	11	0	14	6 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Ewingella;s__Ewingella americana	0	0	19	0	6	0	3	8	0	0	10	2	0	0	7	0	13	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;__	5	0	17	0	0	0	8	5	3	0	0	4	0	0	14	7	0	2	3	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__Cytobacillus;__	0	0	0	33	0	7	20	12	5	15	21	6	16	0	4	1	11	14	6	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas paucimobilis	4	1	1	0	0	2	4	0	1	2	1	2	1	0	3	3	3	4	1	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;__	7	6	7	2	6	7	5	4	4	9	0	5	6	3	6	1	8	2	0	4 
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp900095395	19	0	0	0	6	0	0	8	0	4	9	20	9	21	9	5	0	0	2	12 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp900079735	12	2	1	0	2	7	0	2	5	2	4	0	6	3	3	0	0	0	0	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Kinneretia;s__Kinneretia sp020535565	10	0	0	0	2	4	8	5	8	0	1	8	3	0	0	8	0	4	3	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;__	86	0	2	0	7	39	31	75	13	0	29	52	119	2	8	60	77	0	50	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium multivorum	102	1	120	0	0	96	63	81	18	171	98	32	101	0	47	146	44	114	41	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp016742215	3	0	0	0	0	1	3	0	1	0	0	0	3	2	2	2	0	2	1	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;__;__	79	2	3	0	0	23	29	9	0	0	37	10	42	0	0	17	0	0	51	56 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;__;__;__	0	8	0	16	0	4	0	8	6	0	0	0	9	10	9	0	0	10	5	6 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;__	0	122	0	0	93	0	100	5	0	18	54	18	0	13	0	0	58	20	72	60 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;g__JALONM01;s__JALONM01 sp025454925	0	0	7	0	4	4	0	2	7	0	3	2	4	1	0	2	2	1	2	3 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;__	0	1	118	0	0	97	159	117	3	0	33	82	76	0	0	38	67	81	78	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_B;__	8	0	16	0	0	0	10	12	9	0	18	3	20	10	15	9	6	0	2	6 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Kaistiaceae;g__Kaistia;s__Kaistia geumhonensis	0	0	3	0	1	1	0	1	0	0	0	2	1	1	0	0	0	0	0	2 
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA10027;g__Mycosynbacter;s__Mycosynbacter amalyticus	0	0	2	0	1	0	2	1	1	0	0	0	1	1	2	0	0	1	4	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium xenophagum	0	0	2	0	2	0	0	0	0	2	1	1	1	3	1	0	0	0	0	2 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas carotinifaciens	0	0	10	0	0	4	8	0	2	4	4	0	6	5	1	0	6	10	9	7 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;__;__;__	21	11	31	0	9	9	8	10	25	19	0	0	15	18	0	5	16	35	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__;__	0	0	21	0	0	7	9	2	0	0	0	3	22	0	6	0	0	12	0	34 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;__	0	0	4	0	1	1	1	5	2	0	0	0	0	3	1	0	3	4	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methylopilaceae;__;__	1	0	2	0	1	1	1	2	1	0	1	1	1	1	1	0	1	0	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__Neobacillus;__	0	0	22	4	10	7	14	16	15	3	0	4	19	5	0	12	9	2	8	21 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;__	1	0	4	4	5	1	2	0	1	6	5	2	1	0	7	2	1	4	0	4 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella planticola	395	0	0	0	383	57	385	225	0	212	0	0	252	5	94	300	0	414	502	220 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Phytobacter;__	45	0	65	0	41	11	44	11	37	5	53	50	68	92	6	59	0	13	58	3 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__;__	75	3	51	2	45	0	19	31	11	0	42	50	38	15	65	72	0	74	0	20 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;__	28	8	21	3	2	8	30	21	21	0	17	22	25	4	26	0	35	6	24	19 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella michiganensis	274	5	2	5	0	226	76	182	101	189	74	222	24	143	123	185	0	95	0	194 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	9	9	10	6	7	12	10	8	11	8	9	9	9	7	6	6	8	10	8	6 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;__;__;__;__	15	0	81	2	107	51	99	71	1	9	0	53	87	0	0	58	0	98	46	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Microvirgula;s__Microvirgula aerodenitrificans	63	4	2	4	29	21	0	17	1	0	25	44	70	0	40	0	53	29	61	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;__	7	0	0	0	3	3	5	1	6	0	0	2	0	0	6	8	6	0	3	2 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_A;__	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;__	1	1	3	1	2	2	2	2	2	1	3	1	0	1	2	3	2	0	2	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira;__	17	2	4	1	0	0	0	14	0	3	7	13	1	0	2	0	13	0	2	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia;__	1	0	5	0	0	2	5	5	0	0	0	3	0	2	1	0	0	1	0	1 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Rothia;__	9	10	5	10	6	9	10	7	6	7	7	5	7	8	8	9	12	9	12	7 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;__;__;__	5	0	0	0	5	3	1	1	0	0	1	4	0	0	1	0	5	1	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas zeae	7	8	6	2	8	11	5	6	3	9	8	0	4	5	3	5	3	7	7	8 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium arthrosphaerae	5	0	0	0	2	5	0	0	1	3	0	5	4	3	1	0	1	2	4	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas koreensis	3	0	0	0	0	4	2	0	2	1	2	1	1	1	1	0	0	0	1	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium rhizoryzae	5	0	0	0	2	0	0	6	2	0	1	3	1	2	1	0	3	2	5	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;__	2	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	1	3	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methylopilaceae;g__Hansschlegelia;__	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus rhamnosus	3	20	9	7	5	0	12	16	9	15	26	24	6	14	5	15	9	12	4	19 
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;__	3	9	9	4	6	5	6	6	11	3	14	4	7	0	4	9	8	8	5	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium hominis	2	0	0	0	0	0	1	1	0	0	0	1	2	0	0	1	0	0	1	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium yanoikuyae_A	10	0	0	0	8	0	10	0	0	0	8	4	2	1	10	9	0	0	8	5 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;s__Shinella sedimenti	2	0	0	0	0	1	0	0	1	0	0	2	2	0	0	1	1	0	0	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella ornithinolytica	4	0	0	1	0	0	3	0	0	1	1	0	2	0	1	1	3	1	1	4 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_O;s__Pseudomonas_O kuykendallii	6	0	0	2	3	4	3	4	6	2	3	8	1	6	0	7	0	0	5	5 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	4	7	4	3	5	5	5	8	2	3	2	6	4	4	8	3	8	2	7	5 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;__;__;__	7	1	1	0	1	2	7	8	0	13	11	1	2	0	2	5	3	3	7	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus	3	0	32	1	1	11	0	25	2	2	27	22	7	4	0	0	49	8	23	6 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;__	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;__	6	6	1	0	0	2	0	0	3	5	1	0	1	0	6	5	0	1	7	3 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;__	1	3	1	3	2	2	3	3	3	0	2	2	2	0	1	3	2	0	2	2 
d__Bacteria;p__Eremiobacterota;c__Xenobia;o__Xenobiales;f__JADMJV01;g__JAEXNA01;s__JAEXNA01 sp030149525	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__;__	3	1	4	1	1	3	3	4	1	1	3	3	4	3	2	4	1	4	1	3 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium oranimense	6	4	4	2	1	4	1	4	1	3	3	5	3	3	6	7	6	2	6	2 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;__	9	8	15	10	10	13	10	10	11	12	12	5	10	11	12	10	8	6	8	10 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;__	5	2	0	0	0	3	3	0	2	3	1	2	1	1	0	3	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas acidaminiphila	8	6	3	3	4	4	3	4	1	5	7	2	2	10	6	5	5	6	5	4 
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;__	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B;__	1	2	6	7	4	1	3	0	3	7	1	0	3	6	8	12	6	6	10	3 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;__	1	0	2	0	1	1	0	0	2	0	0	0	1	1	1	1	2	1	0	1 
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7748;s__UBA7748 sp003862175	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;__	3	1	0	1	4	2	2	3	1	2	1	1	1	0	4	1	1	3	1	3 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mitsuaria;s__Mitsuaria chitosanitabida	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	1 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Plantibacter;__	2	1	2	0	0	2	2	1	2	2	1	3	2	2	1	1	0	2	2	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;__	2	0	7	0	0	1	9	0	1	0	0	1	1	0	0	2	6	1	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__;__	1	1	25	1	0	0	0	0	0	31	28	38	16	5	0	0	1	22	15	18 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;__	2	0	0	0	0	0	1	0	0	3	1	0	0	0	1	1	1	2	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__MR-S7;s__MR-S7 sp000400995	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Kurthia;__	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia;__	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;__	3	5	9	2	2	3	6	5	3	8	0	6	10	3	6	3	5	7	2	3 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp000418555	1	0	7	8	6	6	7	9	7	0	5	2	4	8	5	5	4	6	0	2 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;__	1	0	6	0	6	4	0	0	0	3	3	0	1	5	1	2	3	1	0	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guerrae	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium limneticum	1	2	0	0	1	0	1	1	1	1	0	2	0	0	2	2	1	1	2	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Gluconacetobacter;__	3	8	3	4	7	9	5	6	6	7	2	7	0	9	3	4	5	2	4	5 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;__;__;__	1	1	1	0	1	2	0	1	1	0	1	2	0	0	0	1	0	1	0	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Alicycliphilus;__	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Atlantibacter;__	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;__	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;__	1	1	0	1	0	1	0	1	1	1	0	1	1	1	2	2	1	0	1	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium_E;__	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Spirosoma;s__Spirosoma terrae	1	3	2	0	3	3	1	0	2	2	5	4	1	0	2	4	0	0	4	4 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;__	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paracidovorax;__	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;__;__;__	0	2	0	0	2	2	1	0	0	0	0	1	1	0	1	0	1	0	2	2 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;__;__	0	35	1	0	0	25	0	6	25	21	0	15	1	31	0	23	33	0	20	3 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_A;s__Hyphomicrobium_A sp900117445	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__Bacillaceae_B;__;__	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Bacillus_AG;s__Bacillus_AG koreensis	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Bacillus_AG;__	0	3	0	0	2	1	0	3	0	1	2	0	0	1	1	0	0	1	1	3 
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus lugdunensis	0	13	0	0	1	12	0	0	0	5	6	0	4	0	6	0	9	3	0	3 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp002336885	0	3	0	0	0	0	0	0	0	0	1	3	2	0	0	0	2	1	0	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter;__	0	3	0	0	2	0	1	1	2	2	0	2	2	0	1	1	2	0	3	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;__;__	0	2	1	1	0	2	0	1	0	0	1	2	1	0	1	1	1	1	1	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;__	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;__	0	1	1	0	2	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1 
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium;s__Mogibacterium timidum	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Dermacoccus;s__Dermacoccus nishinomiyaensis	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Arcicella;__	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;__	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;__	0	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;__	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelomonas;s__Pelomonas puraquae	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;__	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium faecium	0	2	2	1	2	1	0	3	1	2	2	3	1	1	3	3	2	1	2	1 
